4,27.00,10000,17,0.00
30,9.80,10001,25,0.15
40,12.80,10001,40,0.00
8,38.50,10001,59,0.00
15,23.00,10001,64,0.15
35,8.00,10002,31,0.00
18,12.60,10002,39,0.00
15,15.00,10002,71,0.00
12,43.70,10003,18,0.05
35,86.00,10004,29,0.00
6,30.70,10004,63,0.00
6,34.00,10005,62,0.15
10,4.20,10006,13,0.00
4,11.30,10006,50,0.00
4,26.00,10007,12,0.00
30,22.90,10007,53,0.00
20,30.70,10007,63,0.00
20,16.20,10008,14,0.00
15,7.00,10008,21,0.00
20,37.10,10008,51,0.00
70,6.00,10009,23,0.00
30,37.00,10009,51,0.00
10,32.00,10010,43,0.00
10,15.00,10010,71,0.00
12,43.70,10011,18,0.25
15,6.40,10011,19,0.00
10,13.30,10011,36,0.25
49,6.40,10012,19,0.00
30,12.00,10012,35,0.00
30,12.80,10012,40,0.00
50,6.70,10013,41,0.00
7,32.20,10013,43,0.00
4,43.00,10014,18,0.00
3,6.70,10014,41,0.00
60,14.70,10015,11,0.00
25,3.00,10015,24,0.00
20,6.70,10015,41,0.00
15,10.50,10015,73,0.00
25,7.00,10015,74,0.00
15,19.90,10016,61,0.15
50,34.50,10016,62,0.00
10,8.70,10016,68,0.15
30,8.40,10017,46,0.00
30,23.20,10017,64,0.00
40,5.00,10017,75,0.00
70,14.00,10018,11,0.00
10,11.30,10018,50,0.15
20,5.40,10019,75,0.15
10,28.00,10020,8,0.00
14,12.00,10020,16,0.00
60,12.00,10021,1,0.20
27,21.70,10021,10,0.00
5,9.80,10021,25,0.20
50,1.00,10021,33,0.20
36,13.00,10021,36,0.20
5,15.00,10021,71,0.20
40,7.00,10022,21,0.25
15,14.00,10022,49,0.25
20,11.30,10022,50,0.00
4,26.00,10022,56,0.25
20,13.30,10023,36,0.00
10,6.00,10023,41,0.00
3,15.00,10023,71,0.00
10,32.00,10024,43,0.00
15,22.90,10024,53,0.00
60,26.00,10024,56,0.00
10,12.20,10025,16,0.00
2,31.90,10025,28,0.00
2,8.70,10026,68,0.00
40,6.70,10027,41,0.05
50,23.00,10027,60,0.05
40,23.20,10027,64,0.05
80,14.70,10027,65,0.05
20,43.70,10028,18,0.00
12,8.00,10028,68,0.00
1,14.70,10029,11,0.00
5,12.20,10029,16,0.00
4,5.40,10029,75,0.00
30,14.90,10030,5,0.05
8,14.70,10030,11,0.05
25,8.00,10030,31,0.05
6,32.20,10030,43,0.05
10,15.00,10031,71,0.25
30,24.30,10031,72,0.00
20,4.00,10032,13,0.25
15,3.10,10032,24,0.25
35,24.30,10033,72,0.00
18,17.00,10034,6,0.00
21,21.00,10034,26,0.00
50,21.00,10035,10,0.00
35,14.70,10035,11,0.15
30,9.00,10035,34,0.15
40,6.70,10035,41,0.00
